,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"807","BlackBerry","8703e",4.7,4.3,2.7,0.8,3.3,192,9.288,14.9056334001,2006.6438356164
"818","Samsung","SCH-U340 / Snap",2.82,3.5,1.8,0.77,3.5,220,4.851,30.9607613088,2006.695890411
"828","Samsung","Drift",3.53,3.8,1.8,0.7,3,168,4.788,22.0004808848,2006.695890411
"825","Kyocera","Marbl / K132 / Velvet",2.96,3.39,1.73,0.83,3.8,211,4.867701,29.3828290069,2006.698630137
"817","Samsung","SCH-U740 Alias",3.56,3.84,2.04,0.63,3.5,200,4.935168,25.6027897271,2006.7068493151
"815","Samsung","SCH-U620",3.74,3.78,1.85,0.87,3.5,250,6.08391,27.2294839835,2006.7150684932
"814","Sony","Ericsson W710 / Z710 / W712 / Z712",3.56,3.46,1.89,0.96,10,350,6.277824,40.6593978506,2006.7205479452
"809","LG","VX-9400",4.06,4.04,1.93,0.75,3.8,458,5.8479,48.1434007206,2006.7342465753
"956","Sony","Ericsson Z550a",3.26,3.43,1.77,0.79,5.3,320,4.796169,43.0105177784,2006.7342465753
"819","Sanyo","SCP-7000",3.7,3.4,1.91,1.05,3.5,1000,6.8187,96.7324859536,2006.7424657534
"820","Samsung","SYNC SGH-A707",3.49,3.72,1.99,0.65,4,240,4.81182,31.3184337892,2006.7452054795
"823","Samsung","BlackJack SGH-i607",3.74,4.45,2.32,0.46,3,264,4.74904,32.865907099,2006.7534246575
"868","Nokia","6085 / 6086",2.96,3.62,1.81,0.91,5,240,5.962502,29.700189476,2006.7589041096
"786","Motorola","RIZR Z3",3.92,4.15,1.79,0.65,3.3,225,4.828525,27.6046533559,2006.7808219178
"800","Motorola","W375",3.1,3.9,1.77,0.73,7.5,250,5.03919,35.3229252542,2006.7835616438
"821","Nokia","N75",4.36,3.74,2.05,0.8,4.2,200,6.1336,21.0604558969,2006.8356164384
"829","Motorola","SLVR L7e / L7i / L71",3.4,4.47,1.93,0.45,6.7,350,3.882195,52.6626930479,2006.8356164384
"813","Palm","Treo 750",5.4,4.37,2.28,0.87,4.5,240,8.668332,18.6589284359,2006.8547945206
"827","Palm","Treo 680",5.5,4.4,2.3,0.8,4,300,8.096,23.5363342159,2006.8575342466
"830","Sanyo","M1",3.8,3.6,1.9,0.9,3.8,1000,6.156,102.3503415026,2006.8602739726
"831","Pantech","Ocean",5.61,4.33,2.2,0.86,5.1,168,8.19236,14.0193416198,2006.8931506849
"832","Casio","G'zOne Type-S",5.1,3.8,2,1.1,3.4,170,8.36,13.8930163447,2006.8931506849
"833","Motorola","RAZR V3xx",3.63,4.05,2.08,0.58,3.2,330,4.88592,40.6297851553,2006.9178082192
"858","Nokia","6300",3.21,4.19,1.72,0.46,3.5,348,3.315128,56.0142268474,2006.9287671233
"834","Samsung","SCH-U540",2.82,3.88,2.01,0.66,3.5,200,5.147208,27.2994002416,2006.9452054795
"835","LG","AX-275",2.82,3.58,1.81,0.78,3,278,5.054244,37.2099213588,2006.9452054795
"836","Samsung","SPH-M510",2.93,3.7,2,0.64,3.5,800,4.736,106.6397078007,2006.9479452055
"838","Samsung","Heat",3.17,3.6,1.8,0.6,3,192,3.888,29.3284216492,2006.9506849315
"796","Motorola","RAZR maxx Ve",3.88,3.99,2.09,0.59,3.6,320,4.920069,38.4087897493,2006.9534246575
"845","Sony","Ericsson W200",3,3.98,1.73,0.71,8,300,4.888634,43.0999841037,2006.9643835616
"860","i-mate","JAQ3",5.64,4.96,2.66,0.57,4,150,7.520352,12.9175876147,2006.9698630137
"837","Samsung","SGH-T329 Stripe",2.82,3.43,1.79,0.98,6,264,6.016906,33.2695628991,2006.9917808219
"839","Samsung","SGH-A717",3.31,4.07,2.15,0.55,4,250,4.812775,33.2398718418,2006.994520548
"842","UTStarcom","Mini 8935",2.8,3.3,1.7,0.7,2.9,210,3.927,33.3729745801,2007.0109589041
"846","Samsung","SGH-T219",2.8,3.46,1.77,0.78,6,210,4.776876,31.6753237086,2007.0219178082
"847","LG","VX-8700",3.77,3.82,1.95,0.54,3.3,240,4.02246,32.9164346047,2007.0219178082
"848","Samsung","SCH-U410",3.17,3.48,1.81,0.77,3.3,170,4.850076,23.2541437263,2007.0273972603
"894","Samsung","Wafer R510",2.47,4.45,1.97,0.33,3.7,240,2.892945,48.201128298,2007.0273972603
"849","Nokia","E65",4.06,4.13,1.93,0.61,6,264,4.862249,32.9513332345,2007.0328767123
"853","Nokia","6290",4.06,3.7,1.97,0.82,3.5,288,5.97698,30.4374423382,2007.0438356164
"854","Samsung","UpStage M620",2.57,4.07,1.73,0.37,2.5,620,2.605207,122.2173335289,2007.0438356164
"855","Sharp","Sidekick iD",6.3,5.1,2.4,0.86,5.6,144,10.5264,10.2220320449,2007.0520547945
